City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avera,US,2022-10-23 03:03:03,33.194,-82.5271,49.51,44,0,4.25
1,Tuktoyaktuk,CA,2022-10-23 03:03:03,69.4541,-133.0374,15.82,87,14,9.01
2,Te Anau,NZ,2022-10-23 03:03:04,-45.4167,167.7167,57.65,64,100,9.53
3,Clyde River,CA,2022-10-23 03:03:04,70.4692,-68.5914,20.01,91,99,7.36
4,Alice Springs,AU,2022-10-23 03:00:08,-23.7,133.8833,88.21,40,1,8.05
5,Hilo,US,2022-10-23 03:03:05,19.7297,-155.09,82.27,75,20,8.05
6,Busselton,AU,2022-10-23 03:00:26,-33.65,115.3333,64.99,62,100,0.18
7,Hobart,AU,2022-10-23 03:00:06,-42.8794,147.3294,57.06,64,75,14.97
8,Punta Arenas,CL,2022-10-23 03:03:06,-53.15,-70.9167,42.91,87,75,4.61
9,Batticaloa,LK,2022-10-23 03:03:06,7.7102,81.6924,81.3,73,100,9.98
10,Albany,US,2022-10-23 03:00:31,42.6001,-73.9662,53.46,63,92,3.29
11,Mahebourg,MU,2022-10-23 03:03:07,-20.4081,57.7,74.25,76,2,7.02
12,San Patricio,US,2022-10-23 03:03:08,28.017,-97.5169,78.69,63,6,16.51
13,Funadhoo,MV,2022-10-23 03:03:09,6.15,73.2667,80.65,83,98,12.66
14,Kungurtug,RU,2022-10-23 03:03:09,50.5994,97.5228,45.32,35,43,2.82
15,Cajabamba,PE,2022-10-23 03:03:10,-7.6167,-78.05,56.28,66,96,2.21
16,Yatou,CN,2022-10-23 03:03:10,37.15,122.3833,60.98,38,0,12.1
17,La Reforma,MX,2022-10-23 03:03:11,25.0833,-108.05,78.4,79,100,2.48
18,Mataura,NZ,2022-10-23 03:03:11,-46.1927,168.8643,67.08,39,100,11.34
19,Nikolskoye,RU,2022-10-23 03:03:12,59.7035,30.7861,38.79,95,53,6.58
20,Central Point,US,2022-10-23 03:00:09,42.376,-122.9164,47.05,92,100,3.13
21,Bluff,NZ,2022-10-23 03:03:12,-46.6,168.3333,59.36,60,100,9.84
22,Swellendam,ZA,2022-10-23 03:03:13,-34.0226,20.4417,61.95,90,58,6.06
23,Caravelas,BR,2022-10-23 03:03:13,-17.7125,-39.2481,75.74,85,99,9.26
24,Torbay,CA,2022-10-23 03:03:14,47.6666,-52.7314,52.27,92,0,7.0
25,Dikson,RU,2022-10-23 03:03:14,73.5069,80.5464,23.94,89,93,14.0
26,Juneau,US,2022-10-23 03:01:52,58.3019,-134.4197,43.21,100,98,3.18
27,Lavrentiya,RU,2022-10-23 03:03:15,65.5833,-171.0,32.86,99,100,9.15
28,Puerto Ayora,EC,2022-10-23 03:03:16,-0.7393,-90.3518,67.55,92,95,7.0
29,Hermanus,ZA,2022-10-23 03:03:17,-34.4187,19.2345,64.8,87,100,12.82
30,New Norfolk,AU,2022-10-23 03:03:17,-42.7826,147.0587,56.7,68,100,3.0
31,Kapaa,US,2022-10-23 03:03:18,22.0752,-159.319,81.1,78,0,12.66
32,Shimoda,JP,2022-10-23 03:01:04,34.6667,138.95,77.11,60,0,17.07
33,Keningau,MY,2022-10-23 03:03:19,5.3378,116.1602,85.1,70,100,0.96
