City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
5,Vieques,PR,84.22,18.425,-65.8329,scattered clouds,"The St. Regis Bahia Beach Resort, Puerto Rico"
8,Atuona,PF,77.49,-9.8,-139.0333,clear sky,Villa Enata
12,Dwarka,IN,79.32,22.2394,68.9678,clear sky,Hotel Narayan Avezika Comfort
14,Avarua,CK,77.05,-21.2078,-159.775,overcast clouds,Paradise Inn
21,Fairhope,US,77.02,30.523,-87.9033,overcast clouds,Hampton Inn Fairhope-Mobile Bay
27,Amahai,ID,81.72,-3.3333,128.9167,overcast clouds,HOTEL ISABELA
31,Hilo,US,81.63,19.7297,-155.09,haze,Hilo Hawaiian Hotel
34,Butaritari,KI,81.52,3.0707,172.7902,light rain,Isles Sunset Lodge
35,Sao Filipe,CV,78.53,14.8961,-24.4956,overcast clouds,Hotel Xaguate
37,Georgetown,MY,78.24,5.4112,100.3354,scattered clouds,Cititel Penang
42,Pilar,BR,75.13,-9.5972,-35.9567,broken clouds,Pousada e churrascaria Manguaba
48,Touros,BR,78.01,-5.1989,-35.4608,scattered clouds,INN NEW HORIZON
51,Lompoc,US,78.01,34.6391,-120.4579,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
52,Tutoia,BR,79.41,-2.7619,-42.2744,overcast clouds,Pousada Guará's
67,High Rock,BS,77.02,26.6208,-78.2833,clear sky,Hideaway Bahamas Beach Club
68,Uvalde,US,75.31,29.3669,-99.767,clear sky,
72,Pimenteiras,BR,76.68,-6.2453,-41.4192,broken clouds,Hotel rotativo pimentas
81,Kapaa,US,84.52,22.0752,-159.319,clear sky,Sheraton Kauai Coconut Beach Resort
83,Sur,OM,79.65,22.5667,59.5289,clear sky,Sur Plaza Hotel
87,Samarai,PG,82.42,-10.6167,150.6667,few clouds,Nuli Sapi
88,Hithadhoo,MV,82.38,-0.6,73.0833,scattered clouds,Scoop Guest House
89,Padang,ID,75.87,-0.9492,100.3543,moderate rain,Mercure Padang
93,Elat,IL,78.64,29.5581,34.9482,clear sky,Club Hotel Eilat
95,San Patricio,US,77.09,28.017,-97.5169,clear sky,"Motel 6 Sinton, TX"
99,Tucuman,AR,89.6,-26.8241,-65.2226,few clouds,Hotel Premier
107,Tucurui,BR,81.54,-3.7661,-49.6725,overcast clouds,BBB Rooms Centro Tucurui PA
113,Punto Fijo,VE,83.25,11.6956,-70.1996,overcast clouds,Santa Fe Inn Hotel
115,Lucea,JM,82.85,18.451,-78.1736,clear sky,Grand Palladium Jamaica Resort & Spa
118,Lorengau,PG,85.44,-2.0226,147.2712,overcast clouds,Lorengau Harbourside Hotel
121,Kudahuvadhoo,MV,80.87,2.6708,72.8944,broken clouds,Niyama Private Islands Maldives
