City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Honningsvag,NO,2022-10-25 23:09:25,70.9821,25.9704,33.55,75,100,17.27,overcast clouds
1,Otane,NZ,2022-10-25 23:09:26,-39.8833,176.6333,66.0,55,59,3.29,broken clouds
2,Ushuaia,AR,2022-10-25 23:09:26,-54.8,-68.3,49.66,46,75,8.05,broken clouds
3,Florianopolis,BR,2022-10-25 23:09:27,-27.6146,-48.5012,67.23,74,100,6.91,overcast clouds
4,New Norfolk,AU,2022-10-25 23:09:28,-42.7826,147.0587,55.92,84,100,4.0,overcast clouds
5,Vieques,PR,2022-10-25 23:09:28,18.425,-65.8329,84.22,74,40,6.91,scattered clouds
6,Victoria,HK,2022-10-25 23:06:49,22.2855,114.1577,73.45,71,98,11.99,overcast clouds
7,Saint George,US,2022-10-25 23:04:57,37.1041,-113.5841,66.43,24,0,1.99,clear sky
8,Atuona,PF,2022-10-25 23:09:29,-9.8,-139.0333,77.49,67,2,18.07,clear sky
9,Hasaki,JP,2022-10-25 23:09:30,35.7333,140.8333,54.0,64,100,29.66,overcast clouds
10,Mahebourg,MU,2022-10-25 23:09:30,-20.4081,57.7,72.25,80,5,12.68,light rain
11,Tuktoyaktuk,CA,2022-10-25 23:09:31,69.4541,-133.0374,11.21,93,63,7.18,broken clouds
12,Dwarka,IN,2022-10-25 23:09:31,22.2394,68.9678,79.32,62,0,10.38,clear sky
13,Punta Arenas,CL,2022-10-25 23:09:32,-53.15,-70.9167,48.31,66,100,14.97,light rain
14,Avarua,CK,2022-10-25 23:09:33,-21.2078,-159.775,77.05,57,100,6.91,overcast clouds
15,Fuengirola,ES,2022-10-25 23:09:33,36.54,-4.6247,72.84,43,0,0.0,clear sky
16,Albany,US,2022-10-25 23:08:53,42.6001,-73.9662,67.39,91,89,1.99,overcast clouds
17,Fez,MA,2022-10-25 23:09:34,34.0372,-4.9998,68.25,32,0,6.91,clear sky
18,Mataura,NZ,2022-10-25 23:09:34,-46.1927,168.8643,53.47,71,100,4.5,overcast clouds
19,Fortuna,US,2022-10-25 23:09:35,40.5982,-124.1573,57.65,82,0,13.8,clear sky
20,Arraial Do Cabo,BR,2022-10-25 23:09:16,-22.9661,-42.0278,71.33,81,7,10.27,clear sky
21,Fairhope,US,2022-10-25 23:09:36,30.523,-87.9033,77.02,81,100,8.99,overcast clouds
22,Port Alfred,ZA,2022-10-25 23:09:36,-33.5906,26.891,60.19,91,99,4.0,overcast clouds
23,Hermanus,ZA,2022-10-25 23:09:37,-34.4187,19.2345,59.81,77,100,12.5,overcast clouds
24,Surt,LY,2022-10-25 23:09:37,31.2089,16.5887,73.81,68,0,8.34,clear sky
25,Vardo,NO,2022-10-25 23:09:38,70.3705,31.1107,30.18,86,100,16.11,overcast clouds
26,Rikitea,PF,2022-10-25 23:09:38,-23.1203,-134.9692,73.33,74,62,16.98,broken clouds
27,Amahai,ID,2022-10-25 23:09:39,-3.3333,128.9167,81.72,79,91,1.21,overcast clouds
28,Ribeira Grande,PT,2022-10-25 23:09:39,38.5167,-28.7,61.77,72,88,5.01,overcast clouds
29,Vaini,TO,2022-10-25 23:09:40,-21.2,-175.2,71.76,83,75,6.91,broken clouds
30,Tasiilaq,GL,2022-10-25 23:09:41,65.6145,-37.6368,32.16,96,100,3.71,light snow
31,Hilo,US,2022-10-25 23:09:42,19.7297,-155.09,81.63,84,100,8.05,haze
32,Quatre Cocos,MU,2022-10-25 23:09:42,-20.2078,57.7625,72.09,79,20,12.3,light rain
33,Yumen,CN,2022-10-25 23:09:43,40.2833,97.2,38.91,49,0,8.25,clear sky
34,Butaritari,KI,2022-10-25 23:09:43,3.0707,172.7902,81.52,75,61,3.74,light rain
35,Sao Filipe,CV,2022-10-25 23:08:43,14.8961,-24.4956,78.53,79,87,7.96,overcast clouds
36,Kruisfontein,ZA,2022-10-25 23:09:44,-34.0033,24.7314,58.89,77,100,9.95,overcast clouds
37,Georgetown,MY,2022-10-25 23:08:46,5.4112,100.3354,78.24,90,40,2.3,scattered clouds
38,Cherskiy,RU,2022-10-25 23:09:45,68.75,161.3,-3.68,91,58,6.44,broken clouds
39,North Bend,US,2022-10-25 23:09:45,43.4065,-124.2243,58.91,80,0,12.66,clear sky
40,Busselton,AU,2022-10-25 23:09:46,-33.65,115.3333,55.72,86,78,7.49,broken clouds
41,Khatanga,RU,2022-10-25 23:09:47,71.9667,102.5,1.35,99,87,6.33,overcast clouds
42,Pilar,BR,2022-10-25 23:09:48,-9.5972,-35.9567,75.13,82,62,9.01,broken clouds
43,East London,ZA,2022-10-25 23:08:09,-33.0153,27.9116,64.02,69,100,10.09,overcast clouds
44,Ostrovnoy,RU,2022-10-25 23:09:49,68.0531,39.5131,31.06,89,91,17.92,overcast clouds
45,Cape Town,ZA,2022-10-25 23:07:01,-33.9258,18.4232,63.12,76,41,11.01,scattered clouds
46,Saldanha,ZA,2022-10-25 23:10:50,-33.0117,17.9442,59.43,89,15,15.01,few clouds
47,Bereda,ES,2022-10-25 23:10:50,43.2686,-7.5406,60.42,88,52,9.44,broken clouds
48,Touros,BR,2022-10-25 23:07:33,-5.1989,-35.4608,78.01,77,47,14.43,scattered clouds
49,Esperance,AU,2022-10-25 23:10:51,-33.8667,121.9,59.77,69,19,9.57,few clouds
50,Barrow,US,2022-10-25 23:10:52,71.2906,-156.7887,19.42,93,100,21.85,overcast clouds
51,Lompoc,US,2022-10-25 23:08:03,34.6391,-120.4579,78.01,66,0,25.32,clear sky
52,Tutoia,BR,2022-10-25 23:10:53,-2.7619,-42.2744,79.41,83,96,13.69,overcast clouds
53,Bengkulu,ID,2022-10-25 23:10:00,-3.8004,102.2655,74.05,93,100,5.59,overcast clouds
54,Beringovskiy,RU,2022-10-25 23:10:54,63.05,179.3167,21.31,76,94,9.98,overcast clouds
55,Ketchikan,US,2022-10-25 23:10:19,55.3422,-131.6461,45.07,76,40,9.22,scattered clouds
56,Nikolskoye,RU,2022-10-25 23:10:55,59.7035,30.7861,35.49,92,100,7.58,snow
57,Margate,GB,2022-10-25 23:07:47,51.3813,1.3862,61.3,86,100,4.0,overcast clouds
58,Dandong,CN,2022-10-25 23:10:56,40.1292,124.3947,44.64,68,1,4.65,clear sky
59,Kaitangata,NZ,2022-10-25 23:10:57,-46.2817,169.8464,56.66,58,100,5.3,light rain
